,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,utt_id,session,emotion,valence,arousal,dominance,start,end,mfcc_path
0,0,0,0,0,0,0,0,Ses01M_impro01_F000,Session1,ang,1.5,3.5,4.5,6.77,8.46,mfcc_regression/Ses01M_impro01_F000.npy
1,1,1,1,1,1,1,1,Ses01M_impro01_F001,Session1,ang,2.5,3.5,3.5,8.55,10.6,mfcc_regression/Ses01M_impro01_F001.npy
2,2,2,2,2,2,2,3,Ses01M_impro01_F007,Session1,ang,2.0,3.5,4.0,39.89,43.31,mfcc_regression/Ses01M_impro01_F007.npy
3,3,3,3,3,3,3,4,Ses01M_impro01_F008,Session1,ang,1.5,4.0,4.5,43.31,47.0461,mfcc_regression/Ses01M_impro01_F008.npy
4,4,4,4,4,4,4,6,Ses01M_impro01_F011,Session1,ang,2.0,4.0,4.5,61.05,63.21,mfcc_regression/Ses01M_impro01_F011.npy
5,5,5,5,5,5,5,7,Ses01M_impro01_F012,Session1,ang,2.5,2.5,4.0,65.545,67.47,mfcc_regression/Ses01M_impro01_F012.npy
6,6,6,6,6,6,6,9,Ses01M_impro01_F019,Session1,ang,1.0,4.5,4.5,98.46,102.07,mfcc_regression/Ses01M_impro01_F019.npy
7,7,7,7,7,7,7,10,Ses01M_impro01_F020,Session1,ang,1.0,4.0,5.0,105.76,109.09,mfcc_regression/Ses01M_impro01_F020.npy
8,8,8,8,8,8,8,11,Ses01M_impro01_F021,Session1,ang,1.0,4.5,5.0,109.19,114.1025,mfcc_regression/Ses01M_impro01_F021.npy
9,9,9,9,9,9,9,12,Ses01M_impro01_F022,Session1,ang,1.0,5.0,5.0,114.13,124.82,mfcc_regression/Ses01M_impro01_F022.npy
10,10,10,10,10,10,10,13,Ses01M_impro01_F024,Session1,neu,3.0,2.5,3.0,132.89,136.6025,mfcc_regression/Ses01M_impro01_F024.npy
11,11,11,11,11,11,11,14,Ses01M_impro01_F025,Session1,neu,3.0,3.0,4.0,137.06,140.49,mfcc_regression/Ses01M_impro01_F025.npy
12,12,12,12,12,12,12,18,Ses01M_impro01_M003,Session1,neu,2.5,3.0,2.5,17.66,20.14,mfcc_regression/Ses01M_impro01_M003.npy
13,13,13,13,13,13,13,24,Ses01M_impro01_M010,Session1,neu,2.0,3.0,3.0,54.49,56.71,mfcc_regression/Ses01M_impro01_M010.npy
14,14,14,14,14,14,14,33,Ses01M_impro01_M020,Session1,ang,1.5,4.5,4.0,96.91,100.53,mfcc_regression/Ses01M_impro01_M020.npy
15,15,15,15,15,15,15,36,Ses01M_impro01_M025,Session1,ang,1.5,4.0,4.5,118.835,122.18,mfcc_regression/Ses01M_impro01_M025.npy
16,16,16,16,16,16,16,40,Ses01M_impro01_M030,Session1,ang,1.5,3.0,4.0,148.0,149.12,mfcc_regression/Ses01M_impro01_M030.npy
17,17,17,17,17,17,17,41,Ses01M_impro01_M031,Session1,ang,1.5,3.5,4.5,149.18,151.85,mfcc_regression/Ses01M_impro01_M031.npy
18,18,18,18,18,18,18,42,Ses01M_impro01_M032,Session1,ang,1.5,4.5,4.5,151.85,157.36,mfcc_regression/Ses01M_impro01_M032.npy
19,19,19,19,19,19,19,44,Ses01M_impro02_F000,Session1,neu,3.0,2.5,2.5,8.0737,11.47,mfcc_regression/Ses01M_impro02_F000.npy
20,20,20,20,20,20,20,52,Ses01M_impro02_F009,Session1,sad,2.5,2.5,2.5,85.84,89.14,mfcc_regression/Ses01M_impro02_F009.npy
21,21,21,21,21,21,21,53,Ses01M_impro02_F010,Session1,sad,2.5,2.5,3.0,90.39,93.65,mfcc_regression/Ses01M_impro02_F010.npy
22,22,22,22,22,22,22,54,Ses01M_impro02_F013,Session1,sad,3.0,3.5,3.5,144.54,148.6,mfcc_regression/Ses01M_impro02_F013.npy
23,23,23,23,23,23,23,55,Ses01M_impro02_F015,Session1,sad,2.5,2.0,2.5,157.42,160.11,mfcc_regression/Ses01M_impro02_F015.npy
24,24,24,24,24,24,24,56,Ses01M_impro02_F017,Session1,sad,4.0,3.5,3.0,172.41,177.35,mfcc_regression/Ses01M_impro02_F017.npy
25,25,25,25,25,25,25,57,Ses01M_impro02_F019,Session1,sad,3.0,3.0,3.0,201.7575,204.05,mfcc_regression/Ses01M_impro02_F019.npy
26,26,26,26,26,26,26,58,Ses01M_impro02_M000,Session1,neu,3.0,2.5,2.5,4.5582,7.86,mfcc_regression/Ses01M_impro02_M000.npy
27,27,27,27,27,27,27,59,Ses01M_impro02_M001,Session1,sad,2.0,2.0,3.5,13.76,17.52,mfcc_regression/Ses01M_impro02_M001.npy
28,28,28,28,28,28,28,60,Ses01M_impro02_M002,Session1,sad,2.5,2.5,2.5,19.33,23.63,mfcc_regression/Ses01M_impro02_M002.npy
29,29,29,29,29,29,29,61,Ses01M_impro02_M003,Session1,sad,2.0,2.5,3.0,27.11,29.825,mfcc_regression/Ses01M_impro02_M003.npy
30,30,30,30,30,30,30,63,Ses01M_impro02_M007,Session1,sad,2.0,3.0,3.0,49.66,58.18,mfcc_regression/Ses01M_impro02_M007.npy
31,31,31,31,31,31,31,64,Ses01M_impro02_M009,Session1,sad,2.0,2.5,3.5,75.73,78.6525,mfcc_regression/Ses01M_impro02_M009.npy
32,32,32,32,32,32,32,65,Ses01M_impro02_M010,Session1,sad,2.0,2.0,2.5,79.18,81.86,mfcc_regression/Ses01M_impro02_M010.npy
33,33,33,33,33,33,33,66,Ses01M_impro02_M011,Session1,sad,2.5,2.5,3.5,82.09,86.28,mfcc_regression/Ses01M_impro02_M011.npy
34,34,34,34,34,34,34,67,Ses01M_impro02_M012,Session1,sad,3.0,1.5,1.5,88.825,90.655,mfcc_regression/Ses01M_impro02_M012.npy
35,35,35,35,35,35,35,68,Ses01M_impro02_M013,Session1,sad,1.5,3.0,3.5,95.45,99.875,mfcc_regression/Ses01M_impro02_M013.npy
36,36,36,36,36,36,36,69,Ses01M_impro02_M014,Session1,sad,2.0,2.0,3.5,106.1,114.44,mfcc_regression/Ses01M_impro02_M014.npy
37,37,37,37,37,37,37,70,Ses01M_impro02_M015,Session1,sad,2.0,2.0,2.5,115.0275,117.31,mfcc_regression/Ses01M_impro02_M015.npy
38,38,38,38,38,38,38,71,Ses01M_impro02_M016,Session1,sad,2.5,3.0,3.5,122.03,126.42,mfcc_regression/Ses01M_impro02_M016.npy
39,39,39,39,39,39,39,72,Ses01M_impro02_M017,Session1,sad,3.0,2.0,3.0,131.06,137.74,mfcc_regression/Ses01M_impro02_M017.npy
40,40,40,40,40,40,40,73,Ses01M_impro02_M018,Session1,sad,3.0,2.0,3.5,137.75,140.94,mfcc_regression/Ses01M_impro02_M018.npy
41,41,41,41,41,41,41,74,Ses01M_impro02_M019,Session1,sad,3.0,2.0,3.0,149.06,152.58,mfcc_regression/Ses01M_impro02_M019.npy
42,42,42,42,42,42,42,75,Ses01M_impro02_M020,Session1,sad,3.5,1.5,3.0,154.43,156.51,mfcc_regression/Ses01M_impro02_M020.npy
43,43,43,43,43,43,43,76,Ses01M_impro02_M021,Session1,sad,2.5,2.5,2.5,163.8,167.56,mfcc_regression/Ses01M_impro02_M021.npy
44,44,44,44,44,44,44,77,Ses01M_impro02_M022,Session1,sad,3.5,3.0,2.5,170.94,173.01,mfcc_regression/Ses01M_impro02_M022.npy
45,45,45,45,45,45,45,78,Ses01M_impro02_M023,Session1,sad,1.5,2.5,3.5,183.77,189.08,mfcc_regression/Ses01M_impro02_M023.npy
46,46,46,46,46,46,46,79,Ses01M_impro02_M025,Session1,sad,3.0,2.5,3.5,214.59,217.04,mfcc_regression/Ses01M_impro02_M025.npy
47,47,47,47,47,47,47,81,Ses01M_impro03_F002,Session1,hap,2.5,3.0,3.0,12.37,13.7468,mfcc_regression/Ses01M_impro03_F002.npy
48,48,48,48,48,48,48,82,Ses01M_impro03_F003,Session1,hap,3.5,3.0,3.0,16.19,17.7425,mfcc_regression/Ses01M_impro03_F003.npy
49,49,49,49,49,49,49,83,Ses01M_impro03_F004,Session1,hap,4.0,3.5,3.5,19.6,22.1975,mfcc_regression/Ses01M_impro03_F004.npy
50,50,50,50,50,50,50,84,Ses01M_impro03_F005,Session1,hap,4.5,4.5,4.0,26.0,33.21,mfcc_regression/Ses01M_impro03_F005.npy
51,51,51,51,51,51,51,85,Ses01M_impro03_F006,Session1,hap,4.0,4.5,4.5,35.5,39.235,mfcc_regression/Ses01M_impro03_F006.npy
52,52,52,52,52,52,52,86,Ses01M_impro03_F007,Session1,hap,5.0,4.0,4.5,39.45,43.78,mfcc_regression/Ses01M_impro03_F007.npy
53,53,53,53,53,53,53,87,Ses01M_impro03_F008,Session1,hap,4.0,3.5,4.0,47.32,54.52,mfcc_regression/Ses01M_impro03_F008.npy
54,54,54,54,54,54,54,88,Ses01M_impro03_F009,Session1,hap,4.0,3.5,3.0,55.9325,59.71,mfcc_regression/Ses01M_impro03_F009.npy
55,55,55,55,55,55,55,89,Ses01M_impro03_F010,Session1,hap,3.5,4.5,4.0,61.1325,72.19,mfcc_regression/Ses01M_impro03_F010.npy
56,56,56,56,56,56,56,90,Ses01M_impro03_F011,Session1,hap,4.5,3.5,4.0,72.4875,80.9,mfcc_regression/Ses01M_impro03_F011.npy
57,57,57,57,57,57,57,91,Ses01M_impro03_F012,Session1,hap,4.0,3.5,4.0,80.93,88.45,mfcc_regression/Ses01M_impro03_F012.npy
58,58,58,58,58,58,58,92,Ses01M_impro03_F013,Session1,hap,4.5,3.5,4.0,90.11,91.84,mfcc_regression/Ses01M_impro03_F013.npy
